,Date,Close/Last,Volume,Open,High,Low,Gain or Loss,Next Day,SPY Open,SPY High,SPY Low,SPY Close,SPY Adj Close,SPY Volume,SPY Gain or Loss,SPY Next Day,Quarter,Quarter1,Quarter2,Quarter3,Quarter4,Earnings,iPhone,iPad,Mac,Other
209,05/06/2019,208.48,32443110.0,204.29,208.84,203.5,0.0,0.0,289.25,293.31,288.9,292.82,275.16,107198100.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,05/03/2019,211.75,20892380.0,210.89,211.84,210.23,1.0,0.0,292.82,294.34,291.3,294.03,276.3,56543700.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,05/02/2019,209.15,31996320.0,209.84,212.65,208.13,0.0,1.0,291.68,292.7,289.52,291.18,273.62,65030200.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,05/01/2019,210.52,64827330.0,209.88,215.31,209.23,1.0,0.0,294.72,294.95,291.8,291.81,274.21,71671900.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,04/30/2019,200.67,45751160.0,203.06,203.4,199.11,0.0,1.0,293.49,294.34,291.92,294.02,276.29,81111700.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
214,04/29/2019,204.61,22010360.0,204.4,205.97,203.86,1.0,0.0,293.51,294.45,293.41,293.87,276.15,57197700.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,04/26/2019,204.3,18612770.0,204.9,205.0,202.12,0.0,1.0,292.1,293.49,291.24,293.41,275.72,50916400.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,04/25/2019,205.28,18463850.0,206.83,207.76,205.12,0.0,0.0,292.12,292.78,290.73,292.05,274.44,57770900.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,04/24/2019,207.16,17427570.0,207.36,208.48,207.05,0.0,0.0,292.79,293.16,292.07,292.23,274.61,50392900.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,04/23/2019,207.48,23286380.0,204.43,207.75,203.9,1.0,0.0,290.68,293.14,290.42,292.88,275.22,52246600.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
